date;currency_code;name;local_price;dollar_ex;dollar_price
01/04/2000;ARS;Argentina;2.5;1;2.5
01/04/2000;AUD;Australia;2.59;1;2.59
01/04/2000;BRL;Brazil;2.95;1;2.95
01/04/2000;GBP;Britain;1.9;1;1.9
01/04/2000;CAD;Canada;2.85;1;2.85
01/04/2000;CLP;Chile;1260.0;514;2.45
01/04/2000;CNY;China;9.9;8;1.24
01/04/2000;CZK;Czech Republic;54.37;39;1.39
01/04/2000;DKK;Denmark;24.75;8;3.09
01/04/2000;EUR;Euro area;2.56;1;2.56
01/04/2000;HKD;Hong Kong;10.2;7;1.46
01/04/2000;HUF;Hungary;339.0;279;1.22
01/04/2000;IDR;Indonesia;14500.0;7945;1.83
01/04/2000;ILS;Israel;14.5;4;3.62
01/04/2000;JPY;Japan;294.0;106;2.77
01/04/2000;MYR;Malaysia;4.52;3;1.51
01/04/2000;MXN;Mexico;20.9;9;2.32
01/04/2000;NZD;New Zealand;3.4;2;1.7
01/04/2000;PLN;Poland;5.5;4;1.38
01/04/2000;RUB;Russia;39.5;28;1.41
01/04/2000;SGD;Singapore;3.2;1;3.2
01/04/2000;ZAR;South Africa;9.0;6;1.5
01/04/2000;KRW;South Korea;3000.0;1108;2.71
01/04/2000;SEK;Sweden;24.0;8;3.0
01/04/2000;CHF;Switzerland;5.9;1;5.9
01/04/2000;TWD;Taiwan;70.0;30;2.33
01/04/2000;THB;Thailand;55.0;38;1.45
01/04/2000;USD;United States;2.24;1;2.24
01/04/2001;ARS;Argentina;2.5;1;2.5
01/04/2001;AUD;Australia;3.0;1;3.0
01/04/2001;BRL;Brazil;3.6;2;1.8
01/04/2001;GBP;Britain;1.99;1;1.99
01/04/2001;CAD;Canada;3.33;1;3.33
01/04/2001;CLP;Chile;1260.0;601;2.1
01/04/2001;CNY;China;9.9;8;1.24
01/04/2001;CZK;Czech Republic;56.0;39;1.44
01/04/2001;DKK;Denmark;24.75;8;3.09
01/04/2001;EUR;Euro area;2.57;1;2.57
01/04/2001;HKD;Hong Kong;10.7;7;1.53
01/04/2001;HUF;Hungary;399.0;303;1.32
01/04/2001;IDR;Indonesia;14700.0;10855;1.35
01/04/2001;JPY;Japan;294.0;124;2.37
01/04/2001;MYR;Malaysia;4.52;3;1.51
01/04/2001;MXN;Mexico;21.9;9;2.43
01/04/2001;NZD;New Zealand;3.6;2;1.8
01/04/2001;PHP;Philippines;59.0;50;1.18
01/04/2001;PLN;Poland;5.9;4;1.48
01/04/2001;RUB;Russia;35.0;28;1.25
01/04/2001;SGD;Singapore;3.3;1;3.3
01/04/2001;ZAR;South Africa;9.7;8;1.21
01/04/2001;KRW;South Korea;3000.0;1325;2.26
01/04/2001;SEK;Sweden;24.0;10;2.4
01/04/2001;CHF;Switzerland;6.3;1;6.3
01/04/2001;TWD;Taiwan;70.0;32;2.19
01/04/2001;THB;Thailand;55.0;45;1.22
01/04/2001;USD;United States;2.24;1;2.24
01/04/2002;ARS;Argentina;2.5;3;0.83
01/04/2002;AUD;Australia;3.0;1;3.0
01/04/2002;BRL;Brazil;3.6;2;1.8
01/04/2002;GBP;Britain;1.99;1;1.99
01/04/2002;CAD;Canada;3.33;1;3.33
01/04/2002;CLP;Chile;1400.0;655;2.14
01/04/2002;CNY;China;10.5;8;1.31
01/04/2002;CZK;Czech Republic;56.28;34;1.66
01/04/2002;DKK;Denmark;24.75;8;3.09
01/04/2002;EUR;Euro area;2.67;1;2.67
01/04/2002;HKD;Hong Kong;11.2;8;1.4
01/04/2002;HUF;Hungary;459.0;272;1.69
01/04/2002;IDR;Indonesia;16000.0;9430;1.7
01/04/2002;ILS;Israel;12.0;4;3.0
01/04/2002;JPY;Japan;262.0;130;2.02
01/04/2002;MYR;Malaysia;5.04;3;1.68
01/04/2002;MXN;Mexico;21.9;9;2.43
01/04/2002;NZD;New Zealand;3.6;2;1.8
01/04/2002;NOK;Norway;35.0;8;4.38
01/04/2002;PEN;Peru;8.5;3;2.83
01/04/2002;PHP;Philippines;65.0;51;1.27
01/04/2002;PLN;Poland;5.9;4;1.48
01/04/2002;RUB;Russia;39.0;31;1.26
01/04/2002;SGD;Singapore;3.3;1;3.3
01/04/2002;ZAR;South Africa;9.7;10;0.97
01/04/2002;KRW;South Korea;3100.0;1304;2.38
01/04/2002;SEK;Sweden;26.0;10;2.6
01/04/2002;CHF;Switzerland;6.3;1;6.3
01/04/2002;TWD;Taiwan;70.0;34;2.06
01/04/2002;THB;Thailand;55.0;43;1.28
01/04/2002;TRY;Turkey;4000000.0;1324500;3.02
01/04/2002;USD;United States;2.35;1;2.35
01/04/2002;VEF;Venezuela;2500.0;857;2.92
01/04/2003;ARS;Argentina;4.1;2;2.05
01/04/2003;AUD;Australia;3.0;1;3.0
